symptoms,disease,medicine,alterrnate_medicine,home_remedies,supportive_message,emergency
"pain at night, stiffness, weakness",Shoulder Pain,Diclofenac,Mahanarayana Oil,Gentle exercises,Shoulder pain improves with rest and gradual rehabilitation exercises,No
"frequent waking, early waking",Sleep Problems,Trazodone,Ashwagandha,Relaxation techniques,Good sleep hygiene and consistent bedtime routine improve sleep quality,No
"swelling, toe ache, difficulty walking",Toe Pain,Paracetamol,Manjistha,Proper footwear,Proper foot care and well-fitting shoes prevent most toe problems,No
"pale skin, rapid pulse, weakness, fainting, cold skin",Severe Bleeding,Clotting Factors,Nagkesar,Call emergency,Apply firm pressure to bleeding area and call emergency immediately,Yes
"chest tightness, wheezing, fatigue, coughing",Asthma,Salbutamol,Bharangi,Avoid triggers,Always carry rescue inhaler and identify your asthma triggers,No
"nosebleeds, shortness of breath, headache",Hypertension,Metoprolol,Ashwagandha,Weight management,High blood pressure can be controlled with medication and lifestyle changes,No
"fatigue, severe chest pain",Heart Attack,Atorvastatin,Saraswatarishta,Call emergency immediately,Heart attack is a medical emergency - call 108 immediately and rush to hospital,Yes
"cold fingers, blue fingers, stiffness",Cold Hands,Warming Devices,Ginger,Warm water,Keep hands warm and improve circulation with exercise,No
"swelling, joint warmth",Arthritis,Ibuprofen,Yograj Guggulu,Massage with warm oil,Regular exercise and physiotherapy help maintain joint mobility,No
"chest burning, indigestion, stomach pain, sour taste, belching",Acidity,Pantoprazole,Shankh Bhasma,Chew fennel seeds,Lifestyle changes and proper diet can effectively manage acidity,No
"early satiety, not feeling hungry, food aversion, nausea, weight loss",Loss of Appetite,Digestive Enzymes,Hingwashtak Churna,Light exercise,Eat small frequent meals and include favorite foods to stimulate appetite,No
"confusion, vomiting",Drug Overdose,Naloxone,Call poison control,Monitor breathing,Drug overdose requires immediate emergency medical intervention,Yes
"slow wound healing, weight loss, fatigue, frequent urination, blurred vision",Diabetes Type 2,Glimepiride,Methi,Exercise regularly,Diabetes can be well managed with proper medication and lifestyle changes,No
"stiffness, limited movement, hip ache",Hip Pain,Ibuprofen,Maharasnadi Kwath,Heat therapy,Hip pain often improves with physiotherapy and appropriate exercises,No
"leg ache, tingling, swelling",Leg Pain,Muscle Relaxants,Mahanarayana Oil,Warm compress,Regular exercise and proper posture help prevent leg pain,No
"red patches, burning",Skin Rash,Topical Antibiotics,Khadira,Avoid scratching,"Keep skin clean and moisturized, identify and avoid triggers",No
"nasal discharge, congestion, reduced smell",Runny Nose,Nasal Decongestants,Trikatu,Warm liquids,Keep nasal passages moist and avoid irritants,No
"burning, dryness, cracking",Lip Pain,Pain Relievers,Ghee,Stay hydrated,Keep lips moisturized and protected from environmental factors,No
"itchy skin, burning sensation",Skin Allergy,Loratadine,Neem,Aloe vera gel,"Identify and avoid triggers, keep skin moisturized",No
"ringing, ear ache, hearing difficulty",Ear Pain,Antibiotics,Nirgundi,Rest,Most ear pain resolves with proper treatment and care,No
"swelling, weakness, stiffness, numbness",Arm Pain,Paracetamol,Sahacharadi Oil,Avoid repetitive movements,Most arm pain resolves with rest and appropriate treatment,No
"stiffness, limited movement",Knee Pain,Ibuprofen,Nirgundi,Gentle exercise,Maintain healthy weight and do regular low-impact exercises for knee health,No
"sensitivity to light, nausea, severe headache, confusion, stiff neck",Meningitis,Vancomycin,Saraswatarishta,Call emergency immediately,Meningitis is a medical emergency requiring immediate hospital treatment,Yes
"extreme difficulty breathing, panic, wheezing, inability to speak, blue lips",Severe Asthma Attack,Budesonide,Talisadi Churna,Sit upright,Severe asthma attack can be life-threatening - seek immediate medical help,Yes
"loss of interest, concentration problems, appetite changes, persistent sadness",Depression,Sertraline,Saraswatarishta,Social interaction,Depression is treatable - seek professional help and maintain social connections,No
"enlarged pores, blackheads",Oily Skin,Retinoids,Sandalwood,Avoid over-washing,Use oil-free products and maintain consistent skincare routine,No
"no urination, rapid heartbeat, dizziness",Severe Dehydration,IV Fluids,Immediate medical care needed,Seek immediate medical care,Severe dehydration requires immediate IV fluid replacement,Yes
"blue skin, unconsciousness",Cardiac Arrest,Dopamine,Arjuna,Start CPR immediately,Cardiac arrest requires immediate CPR and emergency medical care,Yes
"burning, tongue soreness",Tongue Pain,Antifungal Medications,Yashtimadhu,Avoid spicy foods,Most tongue pain resolves with proper oral care and avoiding irritants,No
"vomiting, severe headache, fatigue, sensitivity to light, nausea",Migraine,Rizatriptan,Pathyadi Kwath,Avoid triggers,"Identify and avoid migraine triggers, maintain regular sleep schedule",No
"swelling, difficulty gripping",Finger Pain,Finger Splints,Mahanarayana Oil,Finger exercises,Keep fingers active with gentle exercises to maintain mobility,No
"fatigue, unintended weight loss",Weight Loss,Weight Gainers,Drakshasava,Protein rich diet,Focus on nutrient-dense foods and consult doctor for unexplained weight loss,No
"swelling, pain with gripping, weakness, elbow ache",Elbow Pain,Diclofenac,Nirgundi,Rest,Elbow pain improves with rest and avoiding aggravating activities,No
"incomplete evacuation, hard stools, discomfort",Constipation,Sodium Picosulfate,Isabgol,High fiber foods,Increase fiber intake and fluid consumption for regular bowel movements,No
"fatigue, muscle aches, sensitivity to light",Hangover,Pain Relievers,Lemon,Electrolyte drinks,Time and hydration are the best cures for hangover,No
"joint warmth, fatigue, reduced mobility",Arthritis,Diclofenac,Yograj Guggulu,Hot and cold compress,Regular exercise and physiotherapy help maintain joint mobility,No
"red rash, hives, scaling, swelling, burning sensation",Skin Allergy,Prednisolone,Haridra,Cold compress,"Identify and avoid triggers, keep skin moisturized",No
"sweating, severe chest pain, nausea, dizziness, fatigue",Heart Attack,Clopidogrel,Saraswatarishta,Call emergency immediately,Heart attack is a medical emergency - call 108 immediately and rush to hospital,Yes
"rapid heartbeat, extreme thirst, no urination, sunken eyes, dizziness",Severe Dehydration,Glucose,Nimbu Paani,Give small sips of water,Severe dehydration requires immediate IV fluid replacement,Yes
"congestion, runny nose",Common Cold,Ambroxol,Giloy,Rest and sleep,Common cold usually resolves in 7-10 days with proper rest,No
"blue skin, no breathing, unconsciousness, no pulse",Cardiac Arrest,Atropine,Drakshasava,Continue until help arrives,Cardiac arrest requires immediate CPR and emergency medical care,Yes
"heel pain, toe pain, arch pain",Foot Pain,Paracetamol,Eranda,Warm water soak,Proper footwear and foot care prevent most foot problems,No
"limited movement, stiffness, pain in groin, difficulty walking, hip ache",Hip Pain,Physiotherapy,Nirgundi,Swimming,Hip pain often improves with physiotherapy and appropriate exercises,No
"sleep problems, persistent sadness, concentration problems",Depression,Sertraline,Brahmi,Regular exercise,Depression is treatable - seek professional help and maintain social connections,No
"collapse, blue skin, unconsciousness, no pulse",Cardiac Arrest,Atropine,Arjuna,Start CPR immediately,Cardiac arrest requires immediate CPR and emergency medical care,Yes
"swelling, nail problems, difficulty walking, redness, toe ache",Toe Pain,Paracetamol,Nirgundi,Proper footwear,Proper foot care and well-fitting shoes prevent most toe problems,No
"burning, difficulty eating",Tongue Pain,Iron,Triphala,Avoid spicy foods,Most tongue pain resolves with proper oral care and avoiding irritants,No
"dizziness, blurred vision, chest discomfort",Hypertension,Hydrochlorothiazide,Punarnava,Regular exercise,High blood pressure can be controlled with medication and lifestyle changes,No
"not feeling hungry, weight loss, nausea",Loss of Appetite,Probiotics,Ajwain,Pleasant food presentation,Eat small frequent meals and include favorite foods to stimulate appetite,No
"difficulty walking, swelling, nail problems",Toe Pain,Antifungal Creams,Khadira,Soaking in warm water,Proper foot care and well-fitting shoes prevent most toe problems,No
"mouth soreness, burning, difficulty eating, bad taste, ulcers",Mouth Pain,Antiseptic Mouthwash,Amalaki,Soft diet,Maintain good oral hygiene and avoid irritating foods,No
"confusion, vomiting, blue lips, seizures, difficulty breathing",Drug Overdose,Supportive Care,Support breathing,Do not induce vomiting,Drug overdose requires immediate emergency medical intervention,Yes
"pale skin, cold hands and feet",Iron Deficiency Anemia,Ferrous Sulfate,Mandur Bhasma,Iron rich foods,Take iron supplements with vitamin C for better absorption,No
"swelling, redness, toe ache, nail problems, difficulty walking",Toe Pain,Antifungal Creams,Nirgundi,Proper footwear,Proper foot care and well-fitting shoes prevent most toe problems,No
"daytime sleepiness, early waking, frequent waking",Sleep Problems,Zolpidem,Shankhpushpi,Regular sleep schedule,Good sleep hygiene and consistent bedtime routine improve sleep quality,No
"enlarged pores, blackheads",Oily Skin,Clay Masks,Rose Water,Avoid over-washing,Use oil-free products and maintain consistent skincare routine,No
"fever, blisters",Sunburn,Moisturizers,Aloe Vera,Cool baths,Prevent sunburn with sunscreen and protective clothing,No
"loss of appetite, dehydration",Vomiting,Metoclopramide,Jeeraka,Ginger water,Replace lost fluids and seek help if vomiting persists,No
"swelling, redness, pain, minor blisters",Minor Burns,Bandages,Aloe Vera,Avoid ice,"Cool water immediately, keep burn clean and protected",No
"throwing up, stomach pain, dehydration, nausea",Vomiting,Ondansetron,Dhanyak,Ginger water,Replace lost fluids and seek help if vomiting persists,No
"weakness, pain with gripping",Elbow Pain,Physiotherapy,Rasna,Avoid repetitive activities,Elbow pain improves with rest and avoiding aggravating activities,No
"pain turning head, muscle spasms, neck stiffness, shoulder pain, headache",Neck Pain,Muscle Relaxants,Sahacharadi Oil,Gentle neck exercises,Maintain good posture and use ergonomic workstation setup,No
"loss of interest, hopelessness, concentration problems, fatigue",Depression,Escitalopram,Saraswatarishta,Sunlight exposure,Depression is treatable - seek professional help and maintain social connections,No
"splitting, discoloration, fungal infection, brittle nails",Nail Problems,Topical Treatments,Turmeric,Avoid biting,Maintain good nail hygiene and avoid trauma to nails,No
"muscle weakness, joint pain, swelling",Arthritis,Ibuprofen,Yograj Guggulu,Turmeric milk,Regular exercise and physiotherapy help maintain joint mobility,No
"scaling, cracks",Dry Skin,Urea Cream,Til Taila,Gentle soaps,Keep skin moisturized and avoid harsh products,No
"instability, stiffness, clicking sound, limited movement",Knee Pain,Ibuprofen,Boswellia,Gentle exercise,Maintain healthy weight and do regular low-impact exercises for knee health,No
"sleep problems, difficulty concentrating, panic, excessive worry, muscle tension",Anxiety,Propranolol,Saraswatarishta,Deep breathing exercises,Practice relaxation techniques and consider counseling for anxiety management,No
"risk of infection, pain, embedded object, swelling",Splinters,Antiseptic,Neem,Apply antiseptic,Remove splinter completely and watch for signs of infection,No
"vomiting, difficulty breathing, blue lips, confusion, unconsciousness",Drug Overdose,Naloxone,Seek immediate help,Do not induce vomiting,Drug overdose requires immediate emergency medical intervention,Yes
"wrist ache, weakness, tingling, numbness, stiffness",Wrist Pain,Paracetamol,Rasna,Ice therapy,Wrist pain often results from repetitive use - take regular breaks,No
"confusion, unconsciousness, seizures",Poisoning,Naloxone,Mahamanjisthadi Kwath,Do not induce vomiting,Contact poison control center immediately - time is critical,Yes
"dizziness, vomiting, nausea",Motion Sickness,Scopolamine,Cardamom,Look at horizon,Take motion sickness medication before traveling,No
"congestion, postnasal drip",Runny Nose,Pseudoephedrine,Trikatu,Warm liquids,Keep nasal passages moist and avoid irritants,No
"swollen glands, scratchy feeling, throat pain",Sore Throat,Ibuprofen,Karpoor,Salt water gargle,Most sore throats are viral and resolve with symptomatic treatment,No
"nausea, rapid breathing",Diabetic Emergency,Acarbose,Gudmar,Give insulin if prescribed,Diabetic emergency requires immediate hospital care,Yes
"loss of interest, persistent sadness, concentration problems",Depression,Venlafaxine,Mandukaparni,Regular exercise,Depression is treatable - seek professional help and maintain social connections,No
"numbness, stiffness, tingling, wrist ache",Wrist Pain,Paracetamol,Nirgundi,Wrist rest,Wrist pain often results from repetitive use - take regular breaks,No
"daytime fatigue, disturbed sleep, loud breathing during sleep, morning headaches",Snoring,Oral Appliances,Eucalyptus Oil,Sleep on side,Weight loss and sleeping position changes often reduce snoring,No
"nail problems, toe ache, difficulty walking",Toe Pain,Paracetamol,Nirgundi,Toe exercises,Proper foot care and well-fitting shoes prevent most toe problems,No
"difficulty concentrating, confusion",Memory Problems,Modafinil,Saraswatarishta,Adequate sleep,Keep mind active with mental exercises and maintain healthy lifestyle,No
"swelling, weakness",Elbow Pain,Ibuprofen,Nirgundi,Rest,Elbow pain improves with rest and avoiding aggravating activities,No
"discoloration, tenderness, swelling, pain",Bruises,Elevation,Arnica,Rest,Most bruises heal naturally within 2-3 weeks,No
"dehydration, sensitivity to light, headache, muscle aches, fatigue",Hangover,IV Fluids,Turmeric,Rest,Time and hydration are the best cures for hangover,No
"tingling, numbness, swelling, arm ache, stiffness",Arm Pain,Muscle Relaxants,Sahacharadi Oil,Avoid repetitive movements,Most arm pain resolves with rest and appropriate treatment,No
"unintended weight loss, loose clothing, fatigue, loss of muscle mass",Weight Loss,Appetite Stimulants,Vidarikand,Frequent meals,Focus on nutrient-dense foods and consult doctor for unexplained weight loss,No
"persistent sadness, hopelessness, appetite changes",Depression,Fluoxetine,Jatamansi,Social interaction,Depression is treatable - seek professional help and maintain social connections,No
"fatigue, loss of muscle mass, loose clothing, weakness, unintended weight loss",Weight Loss,Appetite Stimulants,Ashwagandha,Healthy fats,Focus on nutrient-dense foods and consult doctor for unexplained weight loss,No
"severe abdominal pain, loss of appetite, nausea, constipation",Appendicitis,Morphine,Triphala,Call emergency,Appendicitis requires immediate surgery - do not delay treatment,Yes
"redness, toe ache, swelling, nail problems",Toe Pain,Paracetamol,Khadira,Soaking in warm water,Proper foot care and well-fitting shoes prevent most toe problems,No
"hot dry skin, confusion",Heat Stroke,Monitoring,Fennel Water,Cool water on skin,Heat stroke is life-threatening - immediate cooling and medical care needed,Yes
"unintended weight loss, weakness",Weight Loss,Weight Gainers,Shatavari,High calorie foods,Focus on nutrient-dense foods and consult doctor for unexplained weight loss,No
"vocal fatigue, hoarse voice, pitch changes, throat clearing",Voice Problems,Pain Relievers,Yashtimadhu,Warm liquids,Rest your voice and stay hydrated for vocal cord healing,No
"rapid breathing, very high blood sugar, confusion",Diabetic Emergency,Insulin,Vijaysar,Check blood sugar,Diabetic emergency requires immediate hospital care,Yes
"stiffness, difficulty walking, hip ache, pain in groin",Hip Pain,Muscle Relaxants,Rasna,Swimming,Hip pain often improves with physiotherapy and appropriate exercises,No
"blue fingers, numbness, cold fingers",Cold Hands,Warming Devices,Cinnamon,Hand exercises,Keep hands warm and improve circulation with exercise,No
"cold hands and feet, weakness",Iron Deficiency Anemia,Vitamin B12,Lohasava,Avoid tea with meals,Take iron supplements with vitamin C for better absorption,No
"difficulty eating, swelling, tongue soreness, taste changes, burning",Tongue Pain,Topical Anesthetics,Triphala,Avoid spicy foods,Most tongue pain resolves with proper oral care and avoiding irritants,No
"headache, dehydration, muscle aches",Hangover,B Vitamins,Lemon,Rest,Time and hydration are the best cures for hangover,No
"sleep problems, restlessness, panic",Anxiety,Sertraline,Brahmi,Regular exercise,Practice relaxation techniques and consider counseling for anxiety management,No
"bad taste, mouth odor, gum problems, dry mouth, white tongue coating",Bad Breath,Antibacterial Mouthwash,Mint,Stay hydrated,Good oral hygiene and regular dental checkups prevent bad breath,No
"weakness, stiffness, limited movement, pain at night, shoulder ache",Shoulder Pain,Diclofenac,Rasna,Support with sling,Shoulder pain improves with rest and gradual rehabilitation exercises,No
"weakness, stiffness, tingling, swelling, leg ache",Leg Pain,Ibuprofen,Rasna,Leg elevation,Regular exercise and proper posture help prevent leg pain,No
"low fever, headache",Common Cold,Ambroxol,Tulsi,Rest and sleep,Common cold usually resolves in 7-10 days with proper rest,No
"dehydration, high body temperature, headache, fatigue, muscle aches",Fever,Paracetamol,Chirayata,Sponge with lukewarm water,Monitor temperature and seek medical help if fever persists beyond 3 days,No
"concentration problems, early morning awakening",Insomnia,Melatonin,Jatamansi,Avoid caffeine,Good sleep hygiene and relaxation techniques improve sleep quality,No
"morning headaches, daytime fatigue, disturbed sleep, loud breathing during sleep",Snoring,Nasal Strips,Cardamom,Lose weight,Weight loss and sleeping position changes often reduce snoring,No
"risk of infection, swelling",Splinters,Antibiotics,Neem,Apply antiseptic,Remove splinter completely and watch for signs of infection,No
"difficulty walking, tenderness, ankle ache, stiffness, swelling",Ankle Pain,Ankle Support,Mahanarayana Oil,Ankle exercises,Most ankle injuries heal with rest and appropriate care,No
"fatigue, irritability, muscle tension, restlessness",Anxiety,Alprazolam,Ashwagandha,Meditation,Practice relaxation techniques and consider counseling for anxiety management,No
"acne, blackheads, enlarged pores",Oily Skin,Retinoids,Neem,Use toner,Use oil-free products and maintain consistent skincare routine,No
"blurred vision, fatigue, headache, chest discomfort, neck pain",Hypertension,Metoprolol,Punarnava,Weight management,High blood pressure can be controlled with medication and lifestyle changes,No
"joint warmth, morning stiffness, reduced mobility",Arthritis,Chondroitin,Shallaki,Turmeric milk,Regular exercise and physiotherapy help maintain joint mobility,No
"hopelessness, loss of interest",Depression,Escitalopram,Ashwagandha,Social interaction,Depression is treatable - seek professional help and maintain social connections,No
"vomiting, nausea, unconsciousness",Diabetic Emergency,Glimepiride,Karela,Keep patient conscious,Diabetic emergency requires immediate hospital care,Yes
"sensitivity to light, headache, fatigue",Hangover,IV Fluids,Ginger,Bland foods,Time and hydration are the best cures for hangover,No
"hip ache, limited movement, pain in groin, difficulty walking, stiffness",Hip Pain,Physiotherapy,Nirgundi,Swimming,Hip pain often improves with physiotherapy and appropriate exercises,No
"confusion, sensitivity to light, severe headache, nausea, fever",Meningitis,Acyclovir,Shankhpushpi,Avoid close contact,Meningitis is a medical emergency requiring immediate hospital treatment,Yes
"itchy scalp, bald patches, thinning hair",Hair Loss,Hair Transplant,Brahmi,Onion juice,Early treatment gives better results for hair loss,No
"losing things, forgetfulness, difficulty concentrating",Memory Problems,Ginkgo Biloba,Saraswatarishta,Regular exercise,Keep mind active with mental exercises and maintain healthy lifestyle,No
"fatigue, hopelessness, concentration problems, sleep problems, appetite changes",Depression,Venlafaxine,Ashwagandha,Social interaction,Depression is treatable - seek professional help and maintain social connections,No
"cracks, tightness, itching, rough texture",Dry Skin,Ceramides,Ghee,Humidifier,Keep skin moisturized and avoid harsh products,No
"hip ache, limited movement, pain in groin, difficulty walking, stiffness",Hip Pain,Paracetamol,Rasna,Heat therapy,Hip pain often improves with physiotherapy and appropriate exercises,No
"vomiting, difficulty breathing, loss of consciousness, widespread rash, dizziness",Severe Allergic Reaction,Ranitidine,Mahamanjisthadi Kwath,Keep airway clear,Anaphylaxis is life-threatening - immediate medical intervention required,Yes
"brittle nails, fungal infection, discoloration, splitting, ingrown nails",Nail Problems,Antifungal Medications,Turmeric,Keep nails clean,Maintain good nail hygiene and avoid trauma to nails,No
"fatigue, difficulty concentrating",Jet Lag,Adjustment Pills,Jatamansi,Avoid alcohol,Gradually adjust to new time zone and get sunlight exposure,No
"scaling, swelling, dry skin",Skin Allergy,Prednisolone,Haridra,Oatmeal bath,"Identify and avoid triggers, keep skin moisturized",No
"runny nose, nasal irritation, frequent sneezing, watery eyes",Sneezing,Cetirizine,Tulsi,Steam inhalation,Identify and avoid triggers that cause sneezing,No
"splitting, fungal infection, ingrown nails, brittle nails",Nail Problems,Antifungal Medications,Turmeric,Moisturize cuticles,Maintain good nail hygiene and avoid trauma to nails,No
"pain with gripping, elbow ache",Elbow Pain,Physiotherapy,Rasna,Gentle stretching,Elbow pain improves with rest and avoiding aggravating activities,No
"swelling, numbness, stiffness, difficulty gripping",Finger Pain,Finger Splints,Mahanarayana Oil,Gentle massage,Keep fingers active with gentle exercises to maintain mobility,No
"dizziness, loss of appetite, sweating",Nausea,Prochlorperazine,Lavang,Ginger tea,Stay hydrated and eat bland foods when nauseous,No
"chest discomfort, involuntary spasms, hiccup sounds, difficulty eating",Hiccups,Chlorpromazine,Cardamom,Hold breath,Most hiccups stop on their own within minutes to hours,No
"brittle nails, pale skin",Iron Deficiency Anemia,Ferrous Sulfate,Amalaki,Iron rich foods,Take iron supplements with vitamin C for better absorption,No
"mucus, difficulty breathing, rattling sound, productive cough",Wet Cough,Ambroxol,Kantakari,Steam inhalation,Expectorants help thin mucus and make coughing more productive,No
"nasal irritation, congestion, frequent sneezing",Sneezing,Cetirizine,Tulsi,Avoid allergens,Identify and avoid triggers that cause sneezing,No
"swollen glands, difficulty swallowing",Sore Throat,Ibuprofen,Yashtimadhu,Honey with warm water,Most sore throats are viral and resolve with symptomatic treatment,No
"weakness, stiffness",Leg Pain,Topical Gels,Yograj Guggulu,Warm compress,Regular exercise and proper posture help prevent leg pain,No
"throbbing, head pain, neck tension, pressure, fatigue",Headache,Paracetamol,Saraswat Churna,Rest in dark room,Most headaches respond well to rest and pain relievers,No
"difficulty breathing, unconsciousness, irregular heartbeat",Electrocution,Antibiotics,Jatyadi Ghrita for burns,Do not touch victim,Turn off power source before helping and seek immediate medical attention,Yes
"stiffness, weakness, swelling",Elbow Pain,Elbow Support,Rasna,Gentle stretching,Elbow pain improves with rest and avoiding aggravating activities,No
"sweating, loss of appetite, headache, high body temperature, dehydration",Fever,Ibuprofen,Giloy,Rest in cool place,Monitor temperature and seek medical help if fever persists beyond 3 days,No
"muscle weakness, depression, bone pain",Vitamin D Deficiency,Calcium,Asthishrinkhala,Vitamin D rich foods,Regular sunlight exposure and vitamin D supplements help,No
"swelling, stiffness, wrist ache",Wrist Pain,Steroid Injections,Sahacharadi Oil,Wrist rest,Wrist pain often results from repetitive use - take regular breaks,No
"stiffness, muscle soreness, tenderness, fatigue, cramps",Muscle Pain,Muscle Relaxants,Nirgundi,Stretching,Most muscle pain resolves with rest and gentle stretching,No
"loss of consciousness, inability to breathe, unable to speak, panic, clutching throat",Choking,Oxygen,Immediate physical intervention required,Clear visible obstruction,Perform Heimlich maneuver immediately and call emergency services,Yes
"wrist ache, weakness",Wrist Pain,Ibuprofen,Nirgundi,Ice therapy,Wrist pain often results from repetitive use - take regular breaks,No
"congestion, watery eyes, frequent sneezing, nasal irritation",Sneezing,Nasal Steroids,Trikatu,Cover nose when sneezing,Identify and avoid triggers that cause sneezing,No
"bald patches, excessive shedding, receding hairline, thinning hair, itchy scalp",Hair Loss,Minoxidil,Amla,Egg masks,Early treatment gives better results for hair loss,No
"nausea, heartburn, loss of appetite, stomach pain, indigestion",Gastritis,Rebeprazole,Amla,Coconut water,"Avoid alcohol and NSAIDs, eat bland food during acute phase",No
"tenderness, stiffness, swelling",Ankle Pain,Ankle Support,Vishgarbha Oil,Ankle exercises,Most ankle injuries heal with rest and appropriate care,No
"loss of consciousness, dizziness, rapid pulse, swelling of face, difficulty breathing",Severe Allergic Reaction,Adrenaline,Tulsi,Use EpiPen if available,Anaphylaxis is life-threatening - immediate medical intervention required,Yes
"dry cough, throat irritation, mucus, hoarse voice, chest discomfort",Common Cough,Codeine,Sitopaladi Churna,Honey with warm water,Most coughs resolve with symptomatic treatment and adequate rest,No
"bloating, discomfort, hard stools",Constipation,Polyethylene Glycol,Haritaki,Prunes,Increase fiber intake and fluid consumption for regular bowel movements,No
"acne, greasy feeling, shiny skin, enlarged pores, blackheads",Oily Skin,Oil-free Products,Rose Water,Avoid over-washing,Use oil-free products and maintain consistent skincare routine,No
"reduced mobility, swelling, joint stiffness, pain with movement",Joint Pain,Diclofenac,Maharasnadi Kwath,Gentle exercise,Regular exercise and weight management help preserve joint health,No
"arm ache, stiffness, tingling, swelling, numbness",Arm Pain,Paracetamol,Vishgarbha Oil,Gentle stretching,Most arm pain resolves with rest and appropriate treatment,No
"dry skin, swelling",Skin Allergy,Cetirizine,Manjistha,Cold compress,"Identify and avoid triggers, keep skin moisturized",No
"frequent sneezing, nasal irritation, congestion, runny nose, watery eyes",Sneezing,Cetirizine,Haridra,Cover nose when sneezing,Identify and avoid triggers that cause sneezing,No
"frequent awakening, irritability, daytime fatigue",Insomnia,Zolpidem,Shankhpushpi,Cool dark room,Good sleep hygiene and relaxation techniques improve sleep quality,No
"discoloration, pain, tenderness, swelling",Bruises,Compression,Ice,Avoid further injury,Most bruises heal naturally within 2-3 weeks,No
"burning, pain with breathing, tightness, muscle pain, chest discomfort",Chest Pain,Topical Gels,Hridayarnava Ras,Avoid triggers,Non-cardiac chest pain usually responds to rest and pain relief,No
"dizziness, severe headache, confusion, face drooping, loss of balance",Stroke,Amlodipine,Brahmi,Keep person still,Time is brain - every minute matters in stroke treatment,Yes
"bloating, hard stools, discomfort, straining",Constipation,Bisacodyl,Abhayarishta,Regular exercise,Increase fiber intake and fluid consumption for regular bowel movements,No
"hives, red rash, itchy skin",Skin Allergy,Hydrocortisone,Neem,Oatmeal bath,"Identify and avoid triggers, keep skin moisturized",No
"swelling, knee ache, limited movement, clicking sound, stiffness",Knee Pain,Ibuprofen,Shallaki,Ice therapy,Maintain healthy weight and do regular low-impact exercises for knee health,No
"depression, slow wound healing",Vitamin D Deficiency,Vitamin D3,Laksha,Vitamin D rich foods,Regular sunlight exposure and vitamin D supplements help,No
"loss of appetite, sweating, dizziness, urge to vomit, feeling sick",Nausea,Domperidone,Dhanyak,Fresh air,Stay hydrated and eat bland foods when nauseous,No
"weakness, sleepiness, tiredness",Fatigue,Caffeine,Brahmi,Healthy diet,Maintain regular sleep schedule and balanced diet for energy,No
"risk of infection, pain",Minor Cuts,Antiseptics,Turmeric,Apply pressure,"Keep wound clean and dry, change dressing regularly",No
"confusion, rapid heartbeat",Severe Dehydration,Glucose,ORS,Give small sips of water,Severe dehydration requires immediate IV fluid replacement,Yes
"toothache, throbbing pain, pain while chewing, sensitivity, swelling",Tooth Pain,Ibuprofen,Triphala,Clove oil,See dentist promptly for proper diagnosis and treatment,No
"difficulty gripping, numbness",Finger Pain,Ibuprofen,Nirgundi,Avoid overuse,Keep fingers active with gentle exercises to maintain mobility,No
"throat irritation, chest discomfort, hoarse voice, mucus",Common Cough,Codeine,Mulethi,Gargle with salt water,Most coughs resolve with symptomatic treatment and adequate rest,No
